Lat,Lng,Depth,Mag,Sig,Place,Time,Month,Day,Year,Country
-21.118000000000002,-11.479000000000001,10.0,5.0,385,southern Mid-Atlantic Ridge,2011-01-17 00:08:35.610,1,17,2011,SH
-21.04,-11.552,10.0,5.4,449,southern Mid-Atlantic Ridge,2011-01-17 01:35:31.770,1,17,2011,SH
-3.611,100.539,26.8,5.0,385,"Kepulauan Mentawai region, Indonesia",2011-01-17 11:19:26.640,1,17,2011,ID
52.636,174.532,94.0,5.0,385,"Near Islands, Aleutian Islands, Alaska",2011-01-17 16:51:08.450,1,17,2011,RU
-34.622,-71.789,50.6,5.0,385,"Libertador General Bernardo O'Higgins, Chile",2011-01-17 18:53:30.030,1,17,2011,CL
-5.03,102.647,36.0,6.0,554,"southern Sumatra, Indonesia",2011-01-17 19:20:57.210,1,17,2011,ID
-30.320999999999998,-71.508,65.0,5.0,385,"Coquimbo, Chile",2011-01-17 23:29:49.000,1,17,2011,CL
-16.212,-175.96,350.4,5.2,416,Tonga,2011-01-18 02:02:01.010,1,18,2011,TO
-64.646,175.80700000000002,10.0,5.3,432,Balleny Islands region,2011-01-18 05:15:15.550,1,18,2011,AQ
-64.563,176.40400000000002,10.0,5.2,416,Balleny Islands region,2011-01-18 06:19:07.680,1,18,2011,AQ
34.422,-36.841,10.0,5.1,400,northern Mid-Atlantic Ridge,2011-01-18 07:49:43.980,1,18,2011,PT
-38.119,176.183,150.5,5.0,385,North Island of New Zealand,2011-01-18 08:45:47.120,1,18,2011,NZ
2.6319999999999997,96.404,21.0,5.9,536,"Simeulue, Indonesia",2011-01-18 11:33:45.070,1,18,2011,ID
-57.193999999999996,-26.923000000000002,130.0,5.0,385,South Sandwich Islands region,2011-01-18 14:46:12.230,1,18,2011,GS
28.776999999999997,63.951,68.0,7.2,1419,southwestern Pakistan,2011-01-18 20:23:23.480,1,18,2011,PK
-19.201,-69.39699999999999,102.7,5.3,439,"Tarapaca, Chile",2011-01-18 21:30:47.000,1,18,2011,CL
39.321999999999996,72.252,39.8,5.0,385,Kyrgyzstan,2011-01-19 03:47:06.540,1,19,2011,TJ
51.382,-178.292,50.7,5.3,432,"Andreanof Islands, Aleutian Islands, Alaska",2011-01-19 04:59:54.290,1,19,2011,US
-33.96,-72.453,12.9,5.3,454,"offshore Libertador O'Higgins, Chile",2011-01-19 05:20:00.000,1,19,2011,CL
41.961000000000006,42.657,10.0,5.2,428,Georgia (Sak'art'velo),2011-01-19 09:17:49.750,1,19,2011,GE
-43.608999999999995,172.523,0.0,5.1,400,South Island of New Zealand,2011-01-19 17:03:20.550,1,19,2011,NZ
-19.945,-175.804,132.5,5.1,400,Tonga,2011-01-19 19:13:36.350,1,19,2011,TO
-33.9,-72.355,24.6,5.0,386,"offshore Libertador O'Higgins, Chile",2011-01-19 21:22:30.000,1,19,2011,CL
-59.942,-27.48,129.7,5.2,416,South Sandwich Islands region,2011-01-20 03:44:25.820,1,20,2011,GS
16.699,-93.598,154.4,5.0,385,"Chiapas, Mexico",2011-01-20 10:01:54.920,1,20,2011,MX
-19.607,-68.898,113.8,5.2,416,"Tarapaca, Chile",2011-01-20 11:02:54.630,1,20,2011,BO
